source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
american,American AAdvantage,False,2.0,"AA2327, AA2345, AA5056",economy,2,"ORD, DCA","AA, AA, AA",0,False,True,23:15,13:40 +1,685,16500,5.6,USD,5.6,cache:2026-06-27,330.0,335.6,100.0,57.08,75.0,75.0,0.0,642.68,False,405.2,"not_enough_seats, exceeds_preferred_stops, next_day_arrival, late departure","Boeing 737-800, Airbus A319, Bombardier CRJ700",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3CEB9gsOt1wb0IFgJvZvV5Bx23T,2026-12-11T23:15:00Z,2026-12-12T13:40:00Z
american,American AAdvantage,False,2.0,"AA2327, AA461, AA5056",business,2,"ORD, DCA","AA, AA, AA",0,False,True,23:15,13:40 +1,685,140500,5.6,USD,5.6,cache:2026-06-27,2810.0,2815.6,100.0,57.08,75.0,75.0,0.0,3122.68,False,723.7,"not_enough_seats, exceeds_preferred_stops, next_day_arrival, late departure","Boeing 737-800, Airbus A319, Bombardier CRJ700",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3EzssZWd3DfXOcHT7epRe5sTh7l,2026-12-11T23:15:00Z,2026-12-12T13:40:00Z
american,American AAdvantage,False,2.0,"AA2327, AA461, AA5056",economy,2,"ORD, DCA","AA, AA, AA",0,False,True,23:15,13:40 +1,685,16500,5.6,USD,5.6,cache:2026-06-27,330.0,335.6,100.0,57.08,75.0,75.0,0.0,642.68,False,405.2,"not_enough_seats, exceeds_preferred_stops, next_day_arrival, late departure","Boeing 737-800, Airbus A319, Bombardier CRJ700",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3EzssanGUQGOW4ossxOrcefZK81,2026-12-11T23:15:00Z,2026-12-12T13:40:00Z
american,American AAdvantage,False,2.0,"AA2327, AA716, AA5122",business,2,"ORD, PHL","AA, AA, AA",0,False,True,23:15,15:26 +1,791,107500,5.6,USD,5.6,cache:2026-06-27,2150.0,2155.6,100.0,65.92,75.0,75.0,0.0,2471.52,False,723.7,"not_enough_seats, exceeds_preferred_stops, next_day_arrival, late departure","Boeing 737-800, Boeing 737-800, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3CEB9ejnIJ4cvckRQgwzI06pE88,2026-12-11T23:15:00Z,2026-12-12T15:26:00Z
american,American AAdvantage,False,2.0,"AA2327, AA716, AA5122",economy,2,"ORD, PHL","AA, AA, AA",0,False,True,23:15,15:26 +1,791,16500,5.6,USD,5.6,cache:2026-06-27,330.0,335.6,100.0,65.92,75.0,75.0,0.0,651.52,False,405.2,"not_enough_seats, exceeds_preferred_stops, next_day_arrival, late departure","Boeing 737-800, Boeing 737-800, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3CEB9gZyLCUsi5mtQt4nHRldKm7,2026-12-11T23:15:00Z,2026-12-12T15:26:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA1826, AA5636",business,1,PHL,AA,8,True,True,23:28,10:36 +1,488,35000,18.1,USD,18.1,cache:2026-06-27,525.0,543.1,50.0,40.67,75.0,75.0,16.0,767.77,False,723.7,"next_day_arrival, late departure","Airbus A321neo/Lr/Xlr, Bombardier CRJ900","U, U",37HC7HH5pz8lBYLt15XcesiMRkP,3D0BFsU3GU7uS4JMdVU8GxaOwMz,2026-12-11T23:28:00Z,2026-12-12T10:36:00Z
american,American AAdvantage,False,2.0,"AA1826, AA5636",business,1,PHL,"AA, AA",0,False,True,23:28,10:36 +1,488,30000,5.6,USD,5.6,cache:2026-06-27,600.0,605.6,50.0,40.67,75.0,75.0,0.0,846.27,False,723.7,"not_enough_seats, next_day_arrival, late departure","Airbus A321neo/Lr/Xlr, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,38MIlC909m86LMjNb1sVDltwicF,2026-12-11T23:28:00Z,2026-12-12T10:36:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA1826, AA5636",economy,1,PHL,AA,9,True,True,23:28,10:36 +1,488,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,40.67,75.0,75.0,18.0,503.27,False,405.2,"next_day_arrival, late departure","Airbus A321neo/Lr/Xlr, Bombardier CRJ900","T, T",37HC7HH5pz8lBYLt15XcesiMRkP,38MIl9BPyndVbeCNfskNWiQyz8q,2026-12-11T23:28:00Z,2026-12-12T10:36:00Z
american,American AAdvantage,False,2.0,"AA1826, AA5636",economy,1,PHL,"AA, AA",0,False,True,23:28,10:36 +1,488,20000,5.6,USD,5.6,cache:2026-06-27,400.0,405.6,50.0,40.67,75.0,75.0,0.0,646.27,False,405.2,"not_enough_seats, next_day_arrival, late departure","Airbus A321neo/Lr/Xlr, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,38MIlBorD9vx4V5Pfgorzq9WZwd,2026-12-11T23:28:00Z,2026-12-12T10:36:00Z
united,United MileagePlus,False,1.2,"UA368, UA5717",economy,1,ORD,"UA, UA",2,True,True,23:30,09:50 +1,440,15000,5.6,USD,5.6,cache:2026-06-27,180.0,185.6,50.0,36.67,75.0,75.0,4.0,418.27,False,405.2,"next_day_arrival, late departure","Boeing 737 MAX 9, Embraer E175","X, X",3888wcxv2NLqUWsOibGx8H3QHRE,3FNLejz0SkeddzySzgubyibhOb7,2026-12-11T23:30:00Z,2026-12-12T09:50:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA3194, AA3195",economy,1,CLT,AA,2,True,True,23:50,11:14 +1,504,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,50.0,42.0,75.0,75.0,4.0,593.6,False,405.2,"next_day_arrival, late departure","Airbus A321, Airbus A320","T, T",37HC7HH5pz8lBYLt15XcesiMRkP,3EzsnS9X2W5KDJq4DmWbW4m8tiI,2026-12-11T23:50:00Z,2026-12-12T11:14:00Z
united,United MileagePlus,False,1.2,"UA1141, UA3425",economy,1,EWR,"UA, UA",9,True,True,23:55,13:34 +1,639,48800,5.6,USD,5.6,cache:2026-06-27,585.6,591.2,50.0,53.25,75.0,75.0,18.0,826.45,True,405.2,"next_day_arrival, late departure, expensive","Boeing 757-200, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3FNLemii2JyNJw5HhyqxAKWkUGq,2026-12-11T23:55:00Z,2026-12-12T13:34:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA939, AA1356, AA3364",business,2,"DFW, ORD",AA,3,True,True,23:59,12:26 +1,567,45000,18.1,USD,18.1,cache:2026-06-27,675.0,693.1,100.0,47.25,75.0,75.0,6.0,984.35,False,723.7,"exceeds_preferred_stops, next_day_arrival, late departure","Airbus A321, Boeing 737-800, Embraer E170","U, U, U",37HC7HH5pz8lBYLt15XcesiMRkP,3EzsnRNVETSBXp3Za2rL5B07JXk,2026-12-11T23:59:00Z,2026-12-12T12:26:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA939, AA2374",business,1,DFW,AA,3,True,True,23:59,10:50 +1,471,35000,18.1,USD,18.1,cache:2026-06-27,525.0,543.1,50.0,39.25,75.0,75.0,6.0,776.35,False,723.7,"next_day_arrival, late departure","Airbus A321, Boeing 737-800","U, U",37HC7HH5pz8lBYLt15XcesiMRkP,3EzsnNPGGH84M06lexJg4RdT4ed,2026-12-11T23:59:00Z,2026-12-12T10:50:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA939, AA2374",economy,1,DFW,AA,1,True,True,23:59,10:50 +1,471,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,39.25,75.0,75.0,2.0,517.85,False,405.2,"next_day_arrival, late departure","Airbus A321, Boeing 737-800","T, T",37HC7HH5pz8lBYLt15XcesiMRkP,3D0BFmntrhjI5zxTLMYr1iKc6Ea,2026-12-11T23:59:00Z,2026-12-12T10:50:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA939, AA2999, AA6246",business,2,"DFW, ORD",AA,3,True,True,23:59,18:10 +1,911,45000,23.7,USD,23.7,cache:2026-06-27,675.0,698.7,100.0,75.92,75.0,75.0,6.0,1018.62,False,723.7,"exceeds_preferred_stops, next_day_arrival, late departure","Airbus A321, Boeing 737-800, Bombardier CRJ700","U, U, U",37HC7HH5pz8lBYLt15XcesiMRkP,3EzsnOLfdBWXM1fRjNa65jtOYHS,2026-12-11T23:59:00Z,2026-12-12T18:10:00Z
united,United MileagePlus,False,1.2,"UA505, UA4064",economy,1,IAH,"UA, UA",9,True,True,23:59,13:45 +1,646,41600,5.6,USD,5.6,cache:2026-06-27,499.2,504.8,50.0,53.83,75.0,75.0,18.0,740.63,True,405.2,"next_day_arrival, late departure, expensive","Boeing 737 MAX 9, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3F4x1zh6pIdnKO8mqvoeqqj8gYD,2026-12-11T23:59:00Z,2026-12-12T13:45:00Z
